id	bp
73.20110700_P1D.1	4430012
73.20110700_P1D.11	4487560
73.20110700_P1D.14	4193421
73.20110700_P1D.19	3348708
73.20110700_P1D.8	5160709
73.20110700_P1D.9	4202510
73.20110700_P1M.10	4437340
73.20110700_P1M.12	2572445
73.20110700_P1M.4	5300178
73.20110700_P1M.5	5196891
73.20110700_P1M.6	5028386
73.20110700_P1S.10	8203119
73.20110700_P1S.16	7153144
73.20110700_P1S.19	4301747
73.20110700_P1S.2	4647574
73.20110700_P1S.21	9386293
73.20110700_P1S.4	7168527
73.20110700_P1S.5	3730614
73.20110700_P2D.10	3737793
73.20110700_P2D.103	2747309
73.20110700_P2D.12	2545187
73.20110700_P2D.15	2586096
73.20110700_P2D.19	3543500
73.20110700_P2D.20	2656519
73.20110700_P2D.24	4588003
73.20110700_P2D.26	7511789
73.20110700_P2D.36	3595185
73.20110700_P2D.4	4662616
73.20110700_P2D.42	2921808
73.20110700_P2D.43	7126901
73.20110700_P2D.47	2978594
73.20110700_P2D.48	3131565
73.20110700_P2D.50	2680648
73.20110700_P2D.54	3301272
73.20110700_P2D.59	2478023
73.20110700_P2D.6	2565447
73.20110700_P2D.63	7351839
73.20110700_P2D.73	2525011
73.20110700_P2D.82	11508716
73.20110700_P2D.9	4322897
73.20110700_P2M.1	3779963
73.20110700_P2M.10	7976792
73.20110700_P2M.14	6407025
73.20110700_P2M.28	3725121
73.20110700_P2M.3	2528520
73.20110700_P2M.4	6021114
73.20110700_P2M.5	5148011
73.20110700_P2M.7	3589724
73.20110700_P2M.8	5187149
73.20110700_P2S.14	2809429
73.20110700_P2S.20	5750349
73.20110700_P2S.4	4246893
73.20110700_P2S.6	3943197
73.20110700_P3D.15	5409550
73.20110700_P3D.20	5194164
73.20110700_P3D.28	3357118
73.20110700_P3D.3	5576224
73.20110700_P3D.7	6936785
73.20110700_P3D.9	8015520
73.20110700_P3M.12	3586168
73.20110700_P3M.16	6674750
73.20110700_P3M.20	2954572
73.20110700_P3M.4	5249444
73.20110700_P3M.6	3924320
73.20110700_P3M.8	4139356
73.20110700_P3S.13	4201590
73.20110700_P3S.4	5519839
73.20110700_S1D.10	4408130
73.20110700_S1D.11	3069693
73.20110700_S1D.14	3945286
73.20110700_S1D.2	5649593
73.20110700_S1D.20	4963643
73.20110700_S1D.4	2530732
73.20110700_S1D.5	5042223
73.20110700_S1D.9	4270125
73.20110700_S1M.11	4233600
73.20110700_S1M.14	3105824
73.20110700_S1M.2	2440703
73.20110700_S1M.28	1927279
73.20110700_S1M.29	4416997
73.20110700_S1M.36	4131384
73.20110700_S1M.47	4373773
73.20110700_S1M.5	5385439
73.20110700_S1M.7	2567648
73.20110700_S1M.8	3784182
73.20110700_S2D.12	1039568
73.20110700_S2D.14	3983017
73.20110700_S2D.16	6408951
73.20110700_S2D.19	2783549
73.20110700_S2D.20	5521633
73.20110700_S2D.26	2753970
73.20110700_S2D.29	3131351
73.20110700_S2D.3	2479614
73.20110700_S2D.31	2788096
73.20110700_S2D.32	7561945
73.20110700_S2D.39	4186064
73.20110700_S2D.44	5086472
73.20110700_S2D.46	5523653
73.20110700_S2D.47	3665388
73.20110700_S2D.54	2488520
73.20110700_S2D.6	2932774
73.20110700_S2D.61	2587688
73.20110700_S2M.11	4363775
73.20110700_S2M.14	1971617
73.20110700_S2M.16	2508395
73.20110700_S2M.17	3742757
73.20110700_S2M.20	5772101
73.20110700_S2M.27	3806249
73.20110700_S2M.30	7107763
73.20110700_S2M.35	5290860
73.20110700_S2M.39	7051395
73.20110700_S2M.4	2552119
73.20110700_S2M.6	3293995
73.20110700_S2M.7	4506350
73.20110700_S3M.18	2447978
73.20110700_S3M.2	2565636
73.20110700_S3M.25	5329118
73.20110700_S3M.27	6346841
73.20110700_S3M.29	5332472
73.20110700_S3M.31	4287228
73.20110700_S3M.34	5296638
73.20110700_S3M.38	4953686
73.20110700_S3M.39	2757219
73.20110700_S3M.4	5309478
73.20110700_S3M.47	2595138
73.20110700_S3M.5	2502830
73.20110700_S3M.50	4757570
73.20110700_S3M.54	6630783
73.20110700_S3M.57	5653252
73.20110700_S3M.6	3602133
73.20110700_S3M.7	4380163
73.20110700_S3M.92	3388703
73.20110700_S3M.98	4874894
73.20110800_E1D.14	4141319
73.20110800_E1D.15	2655204
73.20110800_E1D.16	3370775
73.20110800_E1D.21	6905511
73.20110800_E1D.23	3446686
73.20110800_E1D.30	5188055
73.20110800_E1D.31	2896743
73.20110800_E1D.32	4887905
73.20110800_E1D.4	2355413
73.20110800_E1D.46	3023465
73.20110800_E1D.52	2921251
73.20110800_E1D.6	3056360
73.20110800_E1D.61	1910730
73.20110800_E1M.1	1850957
73.20110800_E1M.12	2822205
73.20110800_E1M.18	2045851
73.20110800_E1S.1	1719785
73.20110800_E1S.23	1664974
73.20110800_E1S.26	1578220
73.20110800_E2D.10	3031587
73.20110800_E2D.14	1794462
73.20110800_E2D.16	5061459
73.20110800_E2D.21	1802461
73.20110800_E2D.35	4199412
73.20110800_E2D.40	3286184
73.20110800_E2D.41	7594287
73.20110800_E2D.43	2105876
73.20110800_E2D.44	5815022
73.20110800_E2D.51	3580613
73.20110800_E2D.52	3026794
73.20110800_E2D.56	2556102
73.20110800_E2D.6	3493398
73.20110800_E2D.65	3614562
73.20110800_E2D.66	4138602
73.20110800_E2D.76	3832128
73.20110800_E2D.8	1985677
73.20110800_E2M.1	1636717
73.20110800_E2M.10	3537118
73.20110800_E2M.20	3995940
73.20110800_E2M.22	3280477
73.20110800_E2M.25	2575854
73.20110800_E2M.30	1533097
73.20110800_E2M.39	3656671
73.20110800_E2M.5	2173929
73.20110800_E2M.9	2833964
73.20110800_E2S.1	1188359
73.20110800_E3D.109	6449855
73.20110800_E3D.110	2107679
73.20110800_E3D.111	4657313
73.20110800_E3D.115	2077475
73.20110800_E3D.12	1936323
73.20110800_E3D.14	3693469
73.20110800_E3D.16	3455506
73.20110800_E3D.2	1754841
73.20110800_E3D.23	3759731
73.20110800_E3D.28	4075875
73.20110800_E3D.38	2665594
73.20110800_E3D.39	3366959
73.20110800_E3D.5	3412846
73.20110800_E3D.52	8996088
73.20110800_E3D.6	1965012
73.20110800_E3D.64	2736209
73.20110800_E3D.67	863945
73.20110800_E3D.70	2113910
73.20110800_E3D.77	5795962
73.20110800_E3D.78	4080825
73.20110800_E3D.93	4469749
73.20110800_E3D.97	1921434
73.20110800_E3M.21	3164613
73.20110800_E3M.5	2699044
73.20110800_E3M.7	5194731
73.20110800_P1D.1	4424774
73.20110800_P1D.10	4167781
73.20110800_P1D.12	4466360
73.20110800_P1D.13	2550715
73.20110800_P1D.14	3619032
73.20110800_P1D.15	3763961
73.20110800_P1D.22	3420454
73.20110800_P1D.24	2776534
73.20110800_P1D.25	3694458
73.20110800_P1D.27	2351085
73.20110800_P1D.41	3300495
73.20110800_P1D.42	6206968
73.20110800_P1D.5	4330409
73.20110800_P1D.50	2471117
73.20110800_P1D.52	8174038
73.20110800_P1D.6	3284796
73.20110800_P1D.66	5692366
73.20110800_P1D.67	3062812
73.20110800_P1D.7	3899255
73.20110800_P1D.77	4366525
73.20110800_P1D.8	4138170
73.20110800_P1D.86	3563312
73.20110800_P1M.14	3725183
73.20110800_P1M.22	3320316
73.20110800_P1M.25	2229220
73.20110800_P1M.3	4151328
73.20110800_P1M.30	5752549
73.20110800_P1M.33	3344747
73.20110800_P1M.35	2987431
73.20110800_P1M.39	7616854
73.20110800_P1M.44	6072974
73.20110800_P1M.47	4101052
73.20110800_P1M.49	5864235
73.20110800_P1M.5	4321202
73.20110800_P1M.51	3481599
73.20110800_P1M.59	4904602
73.20110800_P1M.6	3298277
73.20110800_P1M.7	3884886
73.20110800_P1M.8	4044147
73.20110800_P1M.9	4181162
73.20110800_P1S.4	4626581
73.20110800_P1S.8	4645474
73.20110800_P2D.1	3646543
73.20110800_P2D.16	2127100
73.20110800_P2D.20	2979172
73.20110800_P2D.24	4245652
73.20110800_P2D.27	2959097
73.20110800_P2D.28	3569438
73.20110800_P2D.5	2738509
73.20110800_P2D.8	5100493
73.20110800_P3M.11	4141534
73.20110800_P3M.16	3733925
73.20110800_P3M.3	2742453
73.20110800_P3S.11	3912611
73.20110800_P3S.15	7813620
73.20110800_P3S.2	4825677
73.20110800_P3S.22	7047031
73.20110800_P3S.24	6085170
73.20110800_P3S.4	7584947
73.20110800_P3S.6	3956048
73.20110800_P3S.9	5768439
73.20110800_S1D.12	3936887
73.20110800_S1D.17	2902603
73.20110800_S1D.18	5499470
73.20110800_S1D.19	2651444
73.20110800_S1D.28	2875903
73.20110800_S1D.3	2501996
73.20110800_S1D.37	3403662
73.20110800_S1D.44	2383862
73.20110800_S1D.50	2866164
73.20110800_S1D.9	1367137
73.20110800_S1M.21	3916207
73.20110800_S1M.26	3006466
73.20110800_S1M.27	5493220
73.20110800_S1M.31	3466778
73.20110800_S1M.34	7482670
73.20110800_S1M.35	2794167
73.20110800_S1M.37	3379961
73.20110800_S1M.4	2538184
73.20110800_S1M.45	5531701
73.20110800_S1M.47	3826329
73.20110800_S1M.5	2418147
73.20110800_S1M.57	3533758
73.20110800_S1M.60	3675508
73.20110800_S1M.7	4640461
73.20110800_S1M.72	5453551
73.20110800_S1M.73	4622803
73.20110800_S1M.74	2371339
73.20110800_S1M.81	3907728
73.20110800_S1S.1	2061252
73.20110800_S1S.10	4499429
73.20110800_S1S.11	2791625
73.20110800_S1S.2	1744091
73.20110800_S1S.3	4731498
73.20110800_S1S.4	2029066
73.20110800_S2D.13	1990487
73.20110800_S2D.14	3997218
73.20110800_S2D.27	3413913
73.20110800_S2D.3	2530770
73.20110800_S2D.32	3137262
73.20110800_S2D.41	4662855
73.20110800_S2D.59	2001325
73.20110800_S2D.6	4725122
73.20110800_S2M.10	4419822
73.20110800_S2M.16	2059181
73.20110800_S2M.25	5056452
73.20110800_S2M.28	2594363
73.20110800_S2M.31	2762120
73.20110800_S2M.33	3249097
73.20110800_S2M.4	2136826
73.20110800_S2M.47	5228627
73.20110800_S2M.5	4694399
73.20110800_S2S.19	6318846
73.20110800_S2S.4	1735032
73.20110800_S3D.12	4354677
73.20110800_S3D.14	1439940
73.20110800_S3D.16	4000227
73.20110800_S3D.19	6342538
73.20110800_S3D.22	5473310
73.20110800_S3D.23	3108234
73.20110800_S3D.31	2827421
73.20110800_S3D.35	3416030
73.20110800_S3D.36	7690263
73.20110800_S3D.42	4234646
73.20110800_S3D.48	4750225
73.20110800_S3D.5	5407871
73.20110800_S3D.50	5505352
73.20110800_S3D.51	3571447
73.20110800_S3D.57	6036120
73.20110800_S3D.58	5281686
73.20110800_S3D.59	2332089
73.20110800_S3D.6	4780506
73.20110800_S3D.66	2761467
73.20110800_S3D.78	4667177
73.20110800_S3D.8	3299080
73.20110800_S3M.10	4420010
73.20110800_S3M.11	1974741
73.20110800_S3M.13	2546795
73.20110800_S3M.17	2990647
73.20110800_S3M.18	5283229
73.20110800_S3M.2	2724020
73.20110800_S3M.23	5026772
73.20110800_S3M.25	4996975
73.20110800_S3M.31	3254046
73.20110800_S3M.33	3296667
73.20110800_S3M.4	4630185
73.20110800_S3M.43	4532181
73.20110800_S3M.5	4816775
73.20110800_S3M.53	2580616
73.20110800_S3M.6	3744875
73.20110800_S3M.7	2207715
73.20110800_S3S.12	6102160
73.20110800_S3S.14	3036051
73.20110800_S3S.15	3446511
73.20110800_S3S.20	4203094
73.20110800_S3S.25	2852624
73.20110800_S3S.3	1543902
73.20110800_S3S.32	4859201
73.20110800_S3S.41	6596786
73.20110800_S3S.47	5903037
73.20110800_S3S.6	1785525
73.20110800_S3S.60	2355889
73.20110800_S3S.7	4736042
73.20110800_S3S.73	3863644
73.20110800_S3S.8	1963559
73.20110800_S3S.83	3993996
73.20111000_E2D.1	1224407
73.20111000_E2D.8	3134001
73.20111000_E3D.1	871603
73.20111000_E3D.16	5068287
73.20111000_E3D.2	2019957
73.20111000_E3D.4	4888227
73.20111000_E3D.8	1721172
73.20111000_P1D.18	2642691
73.20111000_P1D.30	4912570
73.20111000_P1D.32	3646842
73.20111000_P1D.5	2067376
73.20111000_P1D.8	5547843
73.20111000_P1M.11	2520105
73.20111000_P1M.14	3240583
73.20111000_P1M.2	2640843
73.20111000_P1M.22	3060782
73.20111000_P1M.23	5067794
73.20111000_P1M.26	2805378
73.20111000_P1M.33	2853405
73.20111000_P1M.8	2953438
73.20111000_P1S.15	11592873
73.20111000_P1S.4	5607601
73.20111000_P1S.5	5747952
73.20111000_P1S.6	7543567
73.20111000_P1S.7	4207092
73.20111000_P2D.1	4472401
73.20111000_P2D.13	5760949
73.20111000_P2D.24	2606614
73.20111000_P2D.25	7095248
73.20111000_P2D.26	3810312
73.20111000_P2D.27	3658337
73.20111000_P2D.43	4844851
73.20111000_P2D.5	1645876
73.20111000_P2D.7	3734291
73.20111000_P2D.8	1771237
73.20111000_P2D.9	2531947
73.20111000_P2M.1	4072028
73.20111000_P2M.16	4087985
73.20111000_P2M.18	10710138
73.20111000_P2M.19	1918277
73.20111000_P2M.5	8097738
73.20111000_P2S.3	5620309
73.20111000_P2S.4	5281597
73.20111000_P3D.1	4429191
73.20111000_P3D.11	3796676
73.20111000_P3D.13	4629110
73.20111000_P3D.15	4323382
73.20111000_P3D.16	3634423
73.20111000_P3D.18	4597087
73.20111000_P3D.19	8018070
73.20111000_P3D.21	3363841
73.20111000_P3D.24	3940365
73.20111000_P3D.26	2558545
73.20111000_P3D.3	1714777
73.20111000_P3D.38	3402242
73.20111000_P3D.47	4179761
73.20111000_P3D.5	4394874
73.20111000_P3D.50	6035393
73.20111000_P3D.6	4048824
73.20111000_P3D.8	2451980
73.20111000_P3M.104	3621010
73.20111000_P3M.106	602608
73.20111000_P3M.111	1960773
73.20111000_P3M.131	3914689
73.20111000_P3M.136	2343364
73.20111000_P3M.15	3570161
73.20111000_P3M.16	3320613
73.20111000_P3M.19	5155147
73.20111000_P3M.20	4206975
73.20111000_P3M.21	2695887
73.20111000_P3M.22	3634824
73.20111000_P3M.26	1434370
73.20111000_P3M.31	8045290
73.20111000_P3M.32	4758665
73.20111000_P3M.39	3894972
73.20111000_P3M.42	2679753
73.20111000_P3M.44	3656609
73.20111000_P3M.46	2522195
73.20111000_P3M.48	2795462
73.20111000_P3M.52	3600036
73.20111000_P3M.58	4337406
73.20111000_P3M.63	6982827
73.20111000_P3M.64	2995077
73.20111000_P3M.68	4630445
73.20111000_P3M.76	2137293
73.20111000_P3M.84	2022206
73.20111000_P3M.9	3913297
73.20111000_P3M.97	2814252
73.20111000_P3M.98	4499928
73.20111000_S1D.10	2827931
73.20111000_S1D.16	1640667
73.20111000_S1D.25	2347306
73.20111000_S1D.29	4986283
73.20111000_S1D.33	4740214
73.20111000_S1D.36	5749602
73.20111000_S1D.39	4365399
73.20111000_S1D.4	2556467
73.20111000_S1D.5	3732193
73.20111000_S1D.8	4094525
73.20111000_S1M.3	1906731
73.20111000_S2D.10	4162963
73.20111000_S2D.15	2257498
73.20111000_S2D.16	2198778
73.20111000_S2D.19	2571687
73.20111000_S2D.2	2455184
73.20111000_S2D.27	4779977
73.20111000_S2D.3	5265980
73.20111000_S2D.31	5231471
73.20111000_S2D.4	3517021
73.20111000_S2D.42	2196237
73.20111000_S2D.5	4581855
73.20111000_S2M.12	3319618
73.20111000_S2M.13	4381988
73.20111000_S2M.15	3092937
73.20111000_S2M.16	2261310
73.20111000_S2M.25	4702451
73.20111000_S2M.28	4495415
73.20111000_S2M.32	5507822
73.20111000_S2M.6	2553652
73.20111000_S2M.8	3615428
73.20111000_S2S.14	4743460
73.20111000_S2S.23	3635374
73.20111000_S2S.3	1935858
73.20111000_S3D.13	4157734
73.20111000_S3D.16	3104933
73.20111000_S3D.17	2155692
73.20111000_S3D.26	4902688
73.20111000_S3D.29	4035599
73.20111000_S3D.35	5610120
73.20111000_S3D.7	3836663
73.20111000_S3D.8	2485512
73.20111000_S3M.1	2557697
73.20111000_S3M.11	4572203
73.20111000_S3M.12	3617961
73.20111000_S3M.2	4239900
73.20111000_S3M.3	2013202
73.20111000_S3M.5	2013287
73.20111000_S3S.1	2113629
73.20111000_S3S.15	4187406
73.20111000_S3S.3	1842248
73.20111000_S3S.5	3346495
73.20111000_S3S.6	2735410
73.20111000_S3S.8	1815997
73.20120500_P12.3	3906114
73.20120500_P13.1	2293002
73.20120500_P13.15	4020577
73.20120500_P13.2	4530645
73.20120500_P13.20	2194129
73.20120500_P13.25	2275955
73.20120500_P13.26	6508434
73.20120500_P13.9	4148775
73.20120500_P14.1	3495868
73.20120500_P14.26	9717417
73.20120500_P14.5	4958720
73.20120500_P15.6	4618113
73.20120500_P15.8	2623731
73.20120500_P16.2	2073672
73.20120500_P16.21	3964666
73.20120500_P16.3	4463622
73.20120500_P16.6	2758004
73.20120500_P17.17	3159473
73.20120500_P17.2	2504904
73.20120500_P17.4	2285651
73.20120500_P17.9	3995419
73.20120500_P19.14	2149995
73.20120500_P19.15	3243211
73.20120500_P19.16	1414172
73.20120500_P19.24	2485893
73.20120500_P19.26	1475832
73.20120500_P19.29	3690370
73.20120500_P19.30	2545071
73.20120500_P19.4	3009642
73.20120500_P22.17	4888831
73.20120500_P22.3	2524730
73.20120500_P22.4	3268539
73.20120500_P22.8	3558457
73.20120500_P22.9	2680811
73.20120500_P23.13	4750946
73.20120500_P23.17	3204564
73.20120500_P23.3	2749976
73.20120500_P23.4	4171751
73.20120500_P23.6	4252346
73.20120500_P24.1	3695824
73.20120500_P24.13	5123786
73.20120500_P24.19	3222601
73.20120500_P24.22	4082086
73.20120500_P24.24	2074850
73.20120500_P24.3	5724666
73.20120500_P24.8	7510429
73.20120500_P25.12	5697891
73.20120500_P25.2	4427505
73.20120500_P25.5	6726311
73.20120500_P25.9	3784730
73.20120500_P26.1	5317643
73.20120500_P26.10	2907286
73.20120500_P26.11	6466358
73.20120500_P26.23	2271474
73.20120500_P26.32	3870114
73.20120500_P26.46	1091236
73.20120500_P26.6	2278668
73.20120500_P26.7	4009647
73.20120500_P26.9	3544607
73.20120500_P27.1	3433387
73.20120500_P27.13	4048569
73.20120500_P27.15	2160511
73.20120500_P27.30	2886664
73.20120500_P28.1	1716209
73.20120500_P28.10	2306565
73.20120500_P28.11	1509088
73.20120500_P28.19	3165847
73.20120500_P28.26	3948296
73.20120500_P28.28	2805127
73.20120500_P28.32	1868928
73.20120500_P28.34	4332218
73.20120500_P28.39	3556643
73.20120500_P28.43	3771660
73.20120500_P28.6	3680817
73.20120500_P28.7	2938909
73.20120500_P28.8	5743645
73.20120500_P28.9	6149698
73.20120500_P31.10	4201539
73.20120500_P31.4	4687488
73.20120500_P31.5	3948416
73.20120500_P31.7	4669788
73.20120500_P31.9	2548763
73.20120500_P32.12	4215753
73.20120500_P32.13	3943779
73.20120500_P32.15	3791325
73.20120500_P32.17	3782900
73.20120500_P32.19	1917235
73.20120500_P32.5	5285449
73.20120500_P32.9	5394508
73.20120500_P33.11	2646732
73.20120500_P33.13	3934625
73.20120500_P33.3	4417943
73.20120500_P33.7	2484491
73.20120500_P34.1	4608064
73.20120500_P34.15	3212739
73.20120500_P34.3	4412133
73.20120500_P35.1	4432744
73.20120500_P35.19	2779792
73.20120500_P35.4	4238376
73.20120500_P35.5	3286646
73.20120500_P35.6	4446754
73.20120500_P35.9	3342596
73.20120500_P36.1	4423356
73.20120500_P36.10	3315725
73.20120500_P36.15	3035335
73.20120500_P36.3	4415430
73.20120500_P36.4	4082414
73.20120500_P36.5	3178950
73.20120500_P37.1	4433436
73.20120500_P37.4	4290693
73.20120500_P37.5	4052323
73.20120500_P37.7	3236667
73.20120500_P38.1	4437723
73.20120500_P38.10	5904282
73.20120500_P38.14	3940173
73.20120500_P38.3	2869029
73.20120500_P38.6	3225098
73.20120500_P39.1	4362659
73.20120500_P39.11	6004649
73.20120500_P39.14	3783416
73.20120500_P39.18	3065785
73.20120500_P39.29	4463745
73.20120500_P39.3	2789908
73.20120500_P39.4	2271322
73.20120600_E1D.1	1774356
73.20120600_E1D.105	3586399
73.20120600_E1D.109	3071785
73.20120600_E1D.12	2177822
73.20120600_E1D.121	8328033
73.20120600_E1D.124	2644018
73.20120600_E1D.135	2716189
73.20120600_E1D.138	3709868
73.20120600_E1D.147	4899144
73.20120600_E1D.15	3058714
73.20120600_E1D.151	2650190
73.20120600_E1D.16	5329842
73.20120600_E1D.17	5576320
73.20120600_E1D.18	3735526
73.20120600_E1D.21	6494936
73.20120600_E1D.22	2949152
73.20120600_E1D.27	2529231
73.20120600_E1D.36	1346142
73.20120600_E1D.40	1933977
73.20120600_E1D.45	2033837
73.20120600_E1D.47	3062696
73.20120600_E1D.5	2210986
73.20120600_E1D.52	3268519
73.20120600_E1D.53	3344883
73.20120600_E1D.63	4341249
73.20120600_E1D.64	6504574
73.20120600_E1D.81	5478163
73.20120600_E2D.1	1570734
73.20120600_E2D.100	2778618
73.20120600_E2D.104	5816078
73.20120600_E2D.11	5207422
73.20120600_E2D.118	3426247
73.20120600_E2D.12	3556202
73.20120600_E2D.120	2250794
73.20120600_E2D.13	2570421
73.20120600_E2D.139	3307620
73.20120600_E2D.15	2836573
73.20120600_E2D.155	3126225
73.20120600_E2D.157	3122948
73.20120600_E2D.18	3840444
73.20120600_E2D.184	2947547
73.20120600_E2D.189	3985285
73.20120600_E2D.19	3018771
73.20120600_E2D.27	2739323
73.20120600_E2D.28	5668081
73.20120600_E2D.30	4418467
73.20120600_E2D.4	2171329
73.20120600_E2D.41	2031371
73.20120600_E2D.42	3291710
73.20120600_E2D.48	2512430
73.20120600_E2D.49	3745098
73.20120600_E2D.52	4115744
73.20120600_E2D.60	2701688
73.20120600_E2D.64	6356344
73.20120600_E2D.69	3815865
73.20120600_E2D.77	2742710
73.20120600_E2D.8	2087807
73.20120600_E2D.81	3285741
73.20120600_E2D.85	2577300
73.20120600_E2D.97	2061519
73.20120600_E3D.1	1640806
73.20120600_E3D.11	2052119
73.20120600_E3D.118	1019217
73.20120600_E3D.12	4553976
73.20120600_E3D.13	2143131
73.20120600_E3D.137	2915408
73.20120600_E3D.14	3066876
73.20120600_E3D.145	3100011
73.20120600_E3D.149	3547352
73.20120600_E3D.15	3132359
73.20120600_E3D.16	5349416
73.20120600_E3D.161	3003764
73.20120600_E3D.174	2710920
73.20120600_E3D.179	744766
73.20120600_E3D.19	5630084
73.20120600_E3D.20	3808614
73.20120600_E3D.21	3419035
73.20120600_E3D.22	2759469
73.20120600_E3D.25	2379053
